rh.aparc.curvind	rh_bankssts_curvind	rh_caudalanteriorcingulate_curvind	rh_caudalmiddlefrontal_curvind	rh_cuneus_curvind	rh_entorhinal_curvind	rh_fusiform_curvind	rh_inferiorparietal_curvind	rh_inferiortemporal_curvind	rh_isthmuscingulate_curvind	rh_lateraloccipital_curvind	rh_lateralorbitofrontal_curvind	rh_lingual_curvind	rh_medialorbitofrontal_curvind	rh_middletemporal_curvind	rh_parahippocampal_curvind	rh_paracentral_curvind	rh_parsopercularis_curvind	rh_parsorbitalis_curvind	rh_parstriangularis_curvind	rh_pericalcarine_curvind	rh_postcentral_curvind	rh_posteriorcingulate_curvind	rh_precentral_curvind	rh_precuneus_curvind	rh_rostralanteriorcingulate_curvind	rh_rostralmiddlefrontal_curvind	rh_superiorfrontal_curvind	rh_superiorparietal_curvind	rh_superiortemporal_curvind	rh_supramarginal_curvind	rh_frontalpole_curvind	rh_temporalpole_curvind	rh_transversetemporal_curvind	rh_insula_curvind	BrainSegVolNotVent	eTIV
137_S_0973.nii	1.4	1.1	2.9	2.9	0.6	6.7	10.5	7.7	1.4	12.7	11.5	5.9	5.1	5.3	0.3	2.2	1.8	1.9	3.2	2.1	7.8	2.9	9.7	8.0	1.5	15.9	18.4	11.6	5.7	7.3	1.6	0.7	0.7	9.5	1105297.0	1771234.41532
023_S_0604.nii	0.8	1.0	3.9	4.2	1.9	6.0	10.5	6.2	2.2	11.7	5.3	7.7	4.0	5.6	0.8	3.5	2.3	1.6	2.6	3.6	7.6	2.3	11.2	6.6	1.4	12.3	13.9	7.4	5.1	5.9	1.0	1.3	0.5	5.1	1102225.0	1841902.17056
012_S_1165.nii	0.8	0.4	2.7	2.6	0.4	4.1	9.1	5.8	1.4	10.3	5.9	5.2	4.6	4.8	0.3	2.6	2.4	1.2	1.8	3.7	5.3	1.4	8.0	5.2	0.9	10.9	11.3	7.6	4.3	4.5	1.1	0.8	0.5	5.0	1012169.0	1531659.83559
941_S_1203.nii	1.0	0.7	4.2	4.7	1.3	6.8	9.8	7.5	2.0	12.4	7.6	6.7	4.3	6.4	0.8	4.6	3.4	2.1	6.1	3.8	9.3	2.3	9.6	7.9	1.4	14.6	17.9	9.2	6.8	11.0	1.5	1.6	1.6	7.8	926864.0	1443983.99789
010_S_0904.nii	0.9	0.5	4.1	4.8	1.4	5.0	11.3	7.1	1.7	13.1	6.3	8.8	8.4	6.0	0.8	3.8	2.0	2.0	1.8	2.4	6.5	1.0	7.9	8.3	1.2	15.8	19.1	9.4	5.7	7.0	0.9	1.1	0.6	7.9	1156627.0	1725369.67892
011_S_0856.nii	0.8	0.7	3.9	3.5	1.1	6.1	6.4	6.3	1.7	9.3	4.0	6.8	3.6	4.5	0.8	2.0	2.2	1.2	1.8	3.0	5.7	1.8	8.4	6.3	1.3	11.2	12.2	6.9	5.2	6.0	0.9	1.4	0.6	8.3	1223556.0	1886045.48148
067_S_1185.nii	1.1	1.2	4.1	3.6	0.5	4.1	8.3	5.9	2.0	11.0	5.1	6.7	2.6	5.4	0.4	2.7	1.7	1.4	3.0	4.5	6.3	1.2	8.8	7.4	1.2	10.5	14.5	9.0	5.5	6.2	0.9	0.9	0.7	4.8	961592.0	1625059.68482
022_S_0044.nii	1.2	1.0	4.5	4.1	0.8	6.4	9.0	6.9	1.4	11.3	6.9	7.5	5.1	6.7	0.8	2.5	2.4	2.3	3.4	3.0	6.8	2.0	10.8	5.8	0.6	14.9	17.9	10.5	8.0	8.6	1.1	1.3	0.7	7.2	888773.0	1357652.6184
137_S_0994.nii	0.9	0.9	2.5	3.0	0.4	4.8	7.4	6.1	1.3	10.5	3.9	7.3	3.6	5.1	0.4	1.9	2.0	1.8	2.0	2.8	5.3	1.7	4.9	6.9	0.4	9.4	8.8	8.6	3.1	4.3	0.8	1.5	0.4	4.6	937036.0	1309949.06833
013_S_0502.nii	0.6	1.7	4.1	4.1	0.6	5.2	8.9	7.5	2.3	12.2	5.4	7.4	4.7	7.3	0.4	2.0	2.7	1.8	3.6	3.9	7.3	1.9	11.9	8.7	1.4	15.4	13.3	9.8	5.3	6.3	1.2	1.0	0.5	7.6	1157563.0	1632937.94741
