rh.aparc.foldind	rh_bankssts_foldind	rh_caudalanteriorcingulate_foldind	rh_caudalmiddlefrontal_foldind	rh_cuneus_foldind	rh_entorhinal_foldind	rh_fusiform_foldind	rh_inferiorparietal_foldind	rh_inferiortemporal_foldind	rh_isthmuscingulate_foldind	rh_lateraloccipital_foldind	rh_lateralorbitofrontal_foldind	rh_lingual_foldind	rh_medialorbitofrontal_foldind	rh_middletemporal_foldind	rh_parahippocampal_foldind	rh_paracentral_foldind	rh_parsopercularis_foldind	rh_parsorbitalis_foldind	rh_parstriangularis_foldind	rh_pericalcarine_foldind	rh_postcentral_foldind	rh_posteriorcingulate_foldind	rh_precentral_foldind	rh_precuneus_foldind	rh_rostralanteriorcingulate_foldind	rh_rostralmiddlefrontal_foldind	rh_superiorfrontal_foldind	rh_superiorparietal_foldind	rh_superiortemporal_foldind	rh_supramarginal_foldind	rh_frontalpole_foldind	rh_temporalpole_foldind	rh_transversetemporal_foldind	rh_insula_foldind	BrainSegVolNotVent	eTIV
018_S_0057.nii	5.0	29.0	29.0	33.0	8.0	51.0	83.0	61.0	40.0	120.0	49.0	50.0	48.0	59.0	4.0	21.0	22.0	15.0	35.0	18.0	51.0	32.0	52.0	66.0	19.0	142.0	138.0	67.0	44.0	45.0	9.0	13.0	4.0	54.0	1043420.0	1880684.92443
022_S_0544.nii	3.0	26.0	38.0	32.0	6.0	53.0	88.0	64.0	11.0	83.0	48.0	64.0	49.0	52.0	6.0	23.0	18.0	19.0	24.0	17.0	52.0	29.0	73.0	63.0	17.0	130.0	122.0	90.0	54.0	52.0	12.0	10.0	5.0	27.0	905923.0	1440483.73271
023_S_0217.nii	5.0	23.0	34.0	27.0	11.0	47.0	73.0	50.0	20.0	90.0	54.0	78.0	52.0	53.0	10.0	18.0	25.0	17.0	23.0	31.0	45.0	24.0	64.0	55.0	18.0	110.0	107.0	76.0	59.0	65.0	11.0	7.0	5.0	47.0	937556.0	1410414.88366
068_S_0442.nii	5.0	18.0	40.0	34.0	7.0	54.0	83.0	68.0	27.0	116.0	61.0	79.0	49.0	54.0	11.0	25.0	20.0	17.0	33.0	29.0	70.0	31.0	64.0	79.0	25.0	120.0	114.0	93.0	51.0	71.0	7.0	7.0	6.0	45.0	1116962.0	1699186.00105
133_S_0488.nii	4.0	22.0	28.0	32.0	6.0	51.0	78.0	42.0	21.0	96.0	48.0	67.0	59.0	54.0	7.0	20.0	19.0	21.0	34.0	26.0	60.0	29.0	71.0	60.0	17.0	112.0	104.0	75.0	51.0	44.0	8.0	11.0	3.0	51.0	1064960.0	1514346.49603
137_S_0668.nii	6.0	13.0	29.0	38.0	6.0	72.0	80.0	83.0	26.0	107.0	67.0	66.0	43.0	55.0	5.0	17.0	17.0	25.0	34.0	33.0	61.0	27.0	48.0	65.0	25.0	114.0	113.0	79.0	57.0	61.0	13.0	10.0	5.0	36.0	1022828.0	1525040.90269
002_S_0816.nii	7.0	14.0	27.0	35.0	4.0	67.0	80.0	77.0	17.0	99.0	45.0	69.0	48.0	71.0	8.0	22.0	14.0	13.0	18.0	30.0	54.0	25.0	67.0	58.0	17.0	102.0	117.0	74.0	43.0	66.0	10.0	10.0	4.0	33.0	1038484.0	1568687.63669
099_S_0060.nii	4.0	21.0	32.0	24.0	3.0	66.0	79.0	69.0	21.0	98.0	59.0	60.0	45.0	75.0	7.0	20.0	14.0	22.0	22.0	17.0	47.0	24.0	63.0	55.0	12.0	111.0	102.0	74.0	46.0	62.0	9.0	10.0	5.0	44.0	1080646.0	1630720.07454
068_S_0210.nii	7.0	12.0	23.0	26.0	4.0	46.0	80.0	55.0	19.0	85.0	47.0	69.0	37.0	62.0	7.0	16.0	21.0	16.0	24.0	22.0	52.0	23.0	54.0	65.0	9.0	98.0	110.0	81.0	50.0	66.0	8.0	12.0	5.0	46.0	975046.0	1398772.91842
036_S_0976.nii	7.0	13.0	29.0	26.0	8.0	60.0	71.0	54.0	12.0	91.0	53.0	42.0	37.0	49.0	6.0	15.0	24.0	23.0	31.0	21.0	55.0	23.0	64.0	65.0	10.0	102.0	111.0	83.0	48.0	63.0	8.0	10.0	7.0	26.0	882249.0	1419115.43419
